;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Code;Course Name;Professor;Sessions;Incompatibilities
1;ADVANCED FINANCIAL STATEMENTS ANALYSIS;Álvaro García Soto;15;18, 33, 200F, 45, 50, 52, 54, 64
3;AI AND DATA SCIENCE: FROM STRATEGY TO IMPLEMENTATION;JAUME MANERO FONT;15;67, 68, 36, 200F, 42, 70, 52, 58, 62
4;AI-POWERED MARKETING;Pablo José Contreras Contreras;15;5, 6, 13, 16, 20, 32, 200F, 48, 63
5;ALL ABOUT VALUATION IN 2025;FRANCISCO JESUS LOPEZ LUBIAN;15;4, 32, 65, 200F, 57, 63
6;BLOCKCHAIN IN THE BUSINESS WORLD;Alexandr Chevtaev;15;4, 13, 16, 36, 48
7;BUILDING FINANCIAL PROJECTIONS;ANA HERNANDEZ-ROS OTAMENDI, Enrique Fernández de la Puebla Otamendi;15;66, 24, 200F, 47, 62, 64
8;BUILDING STARTUPS WITH NO CODE, LOW CODE AND AI;Manoel Fernando Gadi Alonso;15;69, 36, 200F, 42, 46, 52, 71
9;COMMUNICATION WITH IMPACT TEDX;ARTURO CUENLLAS SOLER;15;11, 18, 26, 27, 200F, 40, 42, 47, 50, 53, 61, 62
11;CREATING APPLICATIONS WITH GENERATIVE AI;JAUME MANERO FONT;15;9, 26, 36, 200F, 40, 42, 47, 53, 71, 61, 62
12;CULTURAL INTELLIGENCE FOR GLOBAL BUSINESS;Hayley Dormand;15;18, 36, 38, 200F, 52, 59, 62, 64
13;DECARBONIZING WORLD ECONOMY;Jose Maria Garcia Benito;15;4, 6, 16, 36, 48
16;DISRUPTING HEALTHCARE;ANTONIO GARCIA ROMERO;15;4, 6, 13, 36, 48
17;EQUITY DERIVATIVES TRADING;FERNANDO CAVIA VICENTE;15;21, 200F
18;EU FUNDING INSTRUMENTS FOR TECH STARTUPS/SMES;Giancarlo Pastor Figueroa;15;1, 9, 66, 12, 100F, 200F, 40, 70, 52, 54, 59, 61, 62, 64
19;FAMILY BUSINESS AND FAMILIES IN BUSINESS (A);Laura Jiménez Fernández;15;100F, 22, 38, 200F, 42, 45, 52
20;FINANCE CONSULTING (A);Javier Hernando Guijarro;15;4, 21, 31, 36, 37, 38, 200F, 57, 63
21;FINANCE FOR STRATEGIC BUSINESS DECISIONS;MAR LOPEZ NAVARRO;15;17, 20, 31, 37, 38, 200F, 71, 63
22;FINANCING YOUR STARTUP, FROM VC TO PE;IGNACIO LARRU MARTÍNEZ;15;29, 19, 31, 38, 200F, 53
23;FROM 0 TO 1BN$ : BUILDING A SAAS UNICORN;Olivier Pailhes;15;200F, 51
24;FUNDING COMPANIES FROM THE IDEA TO THE EXIT;Paz Ambrosy Eyzaguirre;15;7, 66, 69, 36, 200F, 52, 53, 64
26;HANDS-ON ECOMMERCE AND DIGITAL STRATEGY;EDUARDO PEDREÑO BERNAL;15;9, 11, 36, 200F, 40, 42, 47, 53, 62
27;HOW TO CONQUER THE EU INNOVATION MARKET;ALEJANDRO BARRERA GARCIA-OREA;15;9, 100F, 31, 200F, 50, 52, 71
29;INTERNATIONAL STRATEGY SIMULATION;JOSE ANTONIO MARTINEZ MARCOS;15;22, 31, 200F, 49, 63
31;INTRODUCTION TO FINTECH;LUIS MALDONADO GARCIA-PERTIERRA;15;29, 20, 21, 22, 27, 49, 71
32;LEAD YOURSELF TO LEAD OTHERS;Javier Hernando Guijarro;15;4, 5, 65
33;LUXURY STRATEGY (A);DAVID MILLAN PLANELLES;15;1, 34, 44, 70, 53, 54, 61
34;M&A, FINANCIAL REPORTING & CAPITAL MARKETS;Martin Glaum;15;33, 200F, 45, 44, 53, 54, 64
36;MARKETING IN FASHION & LUXURY;PENDIENTE DE ASIGNACION;15;3, 6, 8, 11, 12, 13, 16, 20, 68, 24, 26, 69, 200F, 42, 46, 52, 71, 61, 62
37;MARKETING STRATEGY FOR DECISION MAKING;RAMON DIAZ BERNARDO;15;20, 21, 200F, 48, 49, 57, 63
38;MASTERING SALES AND OPERATIONS PLANNING;Gamaliel Martinez Muñoz;15;12, 19, 20, 21, 22, 53, 71, 59, 62
40;NEGOTIATION;ENRIQUE PEÑA PEREZ;15;9, 11, 18, 26, 200F, 42, 53, 61, 62
42;ORGANIZATIONAL BEHAVIOR, LEADERSHIP, AND ARTIFICIAL INTELLIGENCE;David Alan Ragland;15;3, 8, 9, 11, 19, 68, 26, 36, 200F, 40, 45, 70, 47, 61
44;PRODUCT MANAGEMENT: FROM IDEATION TO MARKET SUCCESS;Pablo Delgado Cano;15;33, 34, 50
45;PRICING: WINNING THE PROFIT GAME;MARTIN BOEHM;15;1, 19, 34, 200F, 42, 47, 54, 64
46;REAL ESTATE FINANCE (A);ROBERTO KNOP MUSZYNSKI;15;8, 69, 36, 54
47;RISK MANAGEMENT AND BUSINESS OPPORTUNITIES;MIKEL AGUIRRE UZQUIANO, PABLO NEIRA DE ALVEAR;15;7, 9, 11, 67, 26, 200F, 42, 45, 52, 54, 64
48;SPORTS MARKETING AND VALUE CREATION;Eduardo Fernandez-Cantelli;15;4, 6, 13, 16, 37, 200F
49;SQL FOR BUSINESS: UNLOCKING DATA INSIGHTS WITHOUT A TECHNICAL BACKGROUND;LUIS REINA JULIA;15;29, 31, 37, 200F, 63
50;STAKEHOLDERS MANAGEMENT;Cristina Fernández Tesoro;15;1, 9, 27, 200F, 44, 52, 71
51;STARTUP REALITIES;Wassim Berro;15;23
52;STRATEGIC FORESIGHT: NAVIGATING UNCERTAINTY;ALEXANDER VAN de PUTTE;15;1, 3, 8, 66, 12, 18, 19, 68, 24, 27, 69, 36, 47, 50, 58
53;SUCCESSFUL EARLY LEADERSHIP;ROY RICHARDS;15;9, 66, 11, 22, 24, 26, 33, 34, 38, 40, 61, 62
54;SUSTAINABLE SUPPLY CHAIN MANAGEMENT;Lea Ruesch;15;1, 18, 33, 69, 34, 200F, 45, 46, 47, 64
57;THE ART OF WAR IN BUSINESS (A);Bjorn Beam, BRENDAN FINBARR;15;5, 20, 65, 37, 200F, 63,
71;THE ART OF WAR IN BUSINESS (B);Bjorn Beam, BRENDAN FINBARR ANGLIN;15;8, 11, 21, 27, 31, 69, 36, 38, 50,
58;THE PRICE OF AN ARTWORK;Bigna Pfenninger, Sophie Neuendorf;15;3, 68, 70, 52,
59;TRANSFORMING BUSINESS DEVELOPMENT IN THE AGE OF AI;Max Joseph Rascher;15;66, 12, 18, 38, 200F, 64,
61;VALUATION OF INTANGIBLES IN FOOTBALL CLUBS;ANA HERNANDEZ-ROS OTAMENDI;15;9, 11, 18, 33, 36, 200F, 40, 42, 53, 62,
62;VENTURE CAPITAL;Pablo SOLER BACH;15;3, 7, 9, 11, 12, 18, 68, 26, 36, 38, 200F, 40, 53, 61,
63;VENTURE LAB;Paris De L'etraz;15;29, 4, 5, 20, 21, 65, 37, 200F, 49, 57,
64;WIN ANY PITCH WITH STORY SELLING;VICTOR GAY ZARAGOZA;15;1, 7, 12, 18, 24, 34, 200F, 45, 70, 47, 54, 59,
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;